date,BOXX,SGOV
2024-11-29,109.8300018311,93.9633941650
2024-12-02,109.8199996948,93.9802551270
2024-12-03,109.7099990845,93.9896087646
2024-12-04,109.8300018311,94.0083465576
2024-12-05,109.8399963379,94.0177230835
2024-12-06,109.9000015259,94.0645675659
2024-12-09,109.9000015259,94.0739364624
2024-12-10,109.9300003052,94.0926742554
2024-12-11,109.9499969482,94.0926742554
2024-12-12,109.9400024414,94.1020431519
2024-12-13,110.0000000000,94.1488952637
2024-12-16,110.0400009155,94.1582489014
2024-12-17,110.0400009155,94.1582489014
2024-12-18,110.0299987793,94.1789398193
2024-12-19,110.0599975586,94.1977462769
2024-12-20,110.0899963379,94.2165451050
2024-12-23,110.1100006104,94.2353439331
2024-12-24,110.1200027466,94.2635726929
2024-12-26,110.1500015259,94.2729568481
2024-12-27,110.1900024414,94.3011779785
2024-12-30,110.2099990845,94.3011779785
2024-12-31,110.2799987793,94.3293762207
2025-01-02,110.3300018311,94.3481826782
2025-01-03,110.3499984741,94.3763961792
2025-01-06,110.3899993896,94.3763961792
2025-01-07,110.4000015259,94.3952026367
2025-01-08,110.4100036621,94.4140090942
2025-01-10,110.4599990845,94.4516220093
2025-01-13,110.4800033569,94.4704132080
2025-01-14,110.5000000000,94.4798355103
2025-01-15,110.5000000000,94.4892349243
2025-01-16,110.5199966431,94.4892349243
2025-01-17,110.5800018311,94.5362396240
2025-01-21,110.5800018311,94.5456390381
2025-01-22,110.5999984741,94.5644531250
2025-01-23,110.6200027466,94.5738525391
2025-01-24,110.6699981689,94.6020736694
2025-01-27,110.6699981689,94.6020736694
2025-01-28,110.6999969482,94.6302719116
2025-01-29,110.6999969482,94.6302719116
2025-01-30,110.7200012207,94.6490783691
2025-01-31,110.7699966431,94.6679077148
2025-02-03,110.7699966431,94.6895904541
2025-02-04,110.7900009155,94.7084808350
2025-02-05,110.7900009155,94.7084808350
