end,start,strategy,annualized_return,max_drawdown
2013-02-08,2010-02-09,QQQ,0.18011090174774425,-0.16099267605668122
2013-02-08,2010-02-09,selected,0.18075154005966243,-0.15886945804290287
2013-02-11,2010-02-10,QQQ,0.17619763015273104,-0.16099267605668077
2013-02-11,2010-02-10,selected,0.17684514661451267,-0.15886945804290287
2013-02-12,2010-02-11,QQQ,0.17539968634965963,-0.16099267605668088
2013-02-12,2010-02-11,selected,0.17606743956262716,-0.15886945804290287
2013-02-13,2010-02-12,QQQ,0.1709187120195086,-0.16099267605668122
2013-02-13,2010-02-12,selected,0.17159085989038148,-0.15886945804290298
2013-02-14,2010-02-16,QQQ,0.17000046463521623,-0.160992676056681
2013-02-14,2010-02-16,selected,0.17067724847613164,-0.1588694580429031
2013-02-15,2010-02-17,QQQ,0.16390765862166723,-0.160992676056681
2013-02-15,2010-02-17,selected,0.16457888759402572,-0.1588694580429031
2013-02-19,2010-02-18,QQQ,0.1645212579403288,-0.160992676056681
2013-02-19,2010-02-18,selected,0.16519641903337545,-0.15886945804290264
2013-02-20,2010-02-19,QQQ,0.15610183253815468,-0.16099267605668088
2013-02-20,2010-02-19,selected,0.156814262916388,-0.15886945804290287
2013-02-21,2010-02-22,QQQ,0.1521286831862838,-0.1609926760566811
2013-02-21,2010-02-22,selected,0.15288886906777877,-0.15886945804290298
2013-02-22,2010-02-23,QQQ,0.15676144318362795,-0.160992676056681
2013-02-22,2010-02-23,selected,0.15749421855263224,-0.1588694580429032
2013-02-25,2010-02-24,QQQ,0.15699628068917004,-0.16099267605668088
2013-02-25,2010-02-24,selected,0.1577563369430024,-0.15886945804290298
2013-02-26,2010-02-25,QQQ,0.15454021181166322,-0.16099267605668122
2013-02-26,2010-02-25,selected,0.15534241105659174,-0.15886945804290276
2013-02-27,2010-02-26,QQQ,0.1585452210013225,-0.160992676056681
2013-02-27,2010-02-26,selected,0.15928385635304898,-0.15886945804290353
2013-02-28,2010-03-01,QQQ,0.15635921130195984,-0.16099267605668088
2013-02-28,2010-03-01,selected,0.15709291092436373,-0.15886945804290298
2013-03-01,2010-03-02,QQQ,0.1524138021023962,-0.16099267605668077
2013-03-01,2010-03-02,selected,0.15317874105377083,-0.1588694580429031
2013-03-04,2010-03-03,QQQ,0.15293825972559238,-0.1609926760566811
2013-03-04,2010-03-03,selected,0.1536773425653286,-0.1588694580429031
2013-03-05,2010-03-04,QQQ,0.15816530719030442,-0.1609926760566811
2013-03-05,2010-03-04,selected,0.1588526940952022,-0.1588694580429031
2013-03-06,2010-03-05,QQQ,0.15594278246799242,-0.160992676056681
2013-03-06,2010-03-05,selected,0.15665729502861825,-0.15886945804290287
2013-03-07,2010-03-08,QQQ,0.15119547354245277,-0.1609926760566811
2013-03-07,2010-03-08,selected,0.15194723800676835,-0.15886945804290287
2013-03-08,2010-03-09,QQQ,0.1508993337424127,-0.16099267605668088
2013-03-08,2010-03-09,selected,0.15166269591193937,-0.1588694580429031
2013-03-11,2010-03-10,QQQ,0.14987601768539283,-0.160992676056681
2013-03-11,2010-03-10,selected,0.15065574772679735,-0.15886945804290298
2013-03-12,2010-03-11,QQQ,0.14539273643666473,-0.160992676056681
2013-03-12,2010-03-11,selected,0.14624310851290057,-0.1588694580429032
2013-03-13,2010-03-12,QQQ,0.14344012445990728,-0.16099267605668088
2013-03-13,2010-03-12,selected,0.14430178916201086,-0.15886945804290276
2013-03-14,2010-03-15,QQQ,0.14463532825334946,-0.16099267605668088
2013-03-14,2010-03-15,selected,0.14549198591111212,-0.15886945804290276
2013-03-15,2010-03-16,QQQ,0.14454114255634543,-0.16099267605668122
2013-03-15,2010-03-16,selected,0.14540075101802996,-0.15886945804290287
2013-03-18,2010-03-17,QQQ,0.1412942782656419,-0.16099267605668133
2013-03-18,2010-03-17,selected,0.14216298191293864,-0.15886945804290276
2013-03-19,2010-03-18,QQQ,0.13953262311950687,-0.16099267605668077
2013-03-19,2010-03-18,selected,0.1404352300240035,-0.15886945804290287
2013-03-20,2010-03-19,QQQ,0.14092359303559254,-0.16099267605668088
2013-03-20,2010-03-19,selected,0.14179949265093583,-0.15886945804290287
